식품명,에너지(kcal),탄수화물(g),단백질(g),지방(g),포화지방산(g),트랜스지방산(g)
도라지나물무침,130,13.12,2.48,7.52,1.0,0.04
돌나물무침,69,8.3,1.66,3.18,0.5,0.06
머위대나물무침,58,4.76,3.96,2.56,0.32,0.02
무나물무침,21,3.64,0.62,0.46,0.04,0.0
방풍나물무침,76,10.74,4.39,1.73,0.23,0.0
배추나물무침,61,8.45,2.01,2.19,0.29,0.03
비름나물무침,73,5.7,3.46,4.05,0.63,0.1
숙주나물무침,35,2.96,2.22,1.58,0.12,0.0
시금치나물무침,69,3.36,3.74,4.46,0.4,0.12
시래기나물무침,114,7.74,4.32,7.28,0.9,0.02
씀바귀나물무침,97,16.57,3.87,1.73,0.36,0.08
열무나물무침,82,4.76,3.91,5.3,0.66,0.18
열무나물무침_된장,68,4.09,3.71,4.09,0.52,0.12
유채나물무침,96,7.82,5.8,4.6,0.59,0.04
참나물무침,60,4.14,2.51,3.69,0.58,0.01
취나물_된장,44,4.12,3.08,1.66,0.19,0.01
취나물무침_취나물(마른것),89,6.4,3.62,5.4,0.56,0.02
콩나물무침,69,3.2,3.86,4.54,0.48,0.0
콩나물무침_고춧가루,93,5.93,3.93,5.93,0.83,0.01
토란대나물무침,68,4.22,5.14,3.38,0.46,0.02
호박오가리나물무침,201,21.46,6.14,10.01,1.65,0.13
가죽나물무침,76,10.05,5.83,1.35,0.19,0.01
겉절이_배추,55,6.58,2.28,2.14,0.42,0.06
겉절이_상추,61,5.26,2.36,3.41,0.38,0.02
겉절이_열무,58,5.38,2.4,2.94,0.46,0.08
겉절이_치커리,56,4.4,1.49,3.65,0.42,0.11
골뱅이무침_소면,109,18.91,5.01,1.47,0.18,0.0
굴무침,77,7.3,6.68,2.31,0.61,0.03
김무침,259,19.33,21.17,10.73,1.53,0.07
낙지무침,77,3.96,12.41,1.24,0.17,0.0
냉채_닭고기,90,5.0,13.08,1.95,0.5,0.01
다시마무침,48,6.8,2.57,1.18,0.28,0.0
달래무침,63,6.07,2.92,3.02,0.4,0.02
도라지생채,77,16.15,2.06,0.51,0.13,0.0
두릅무침_초고추장,67,7.89,2.16,3.01,0.42,0.0
마늘쫑무침,106,12.77,2.73,4.93,0.63,0.03
만두_월남쌈,118,12.25,5.94,4.97,2.13,0.02
무말랭이무침,121,22.5,4.2,1.55,1.25,0.05
무생채,49,7.33,2.43,1.11,0.16,0.02
무생채_굴,50,5.92,3.68,1.26,0.19,0.01
묵무침_도토리묵,74,10.92,0.93,2.95,0.38,0.01
물회_오징어,49,3.26,6.19,1.2,0.19,0.0
미나리무침,46,5.41,1.31,2.13,0.3,0.01
시루떡,224,48.13,3.77,1.85,0.11,0.0
미역초무침,35,5.24,1.18,1.02,0.16,0.0
민들레잎무침,81,12.32,2.69,2.33,0.21,0.01
버섯무침_느타리버섯,59,3.44,2.74,3.77,0.46,0.01
부추무침,92,6.25,3.5,5.92,0.79,0.02
부추무침_양파,44,6.81,1.83,1.07,0.19,0.02
북어채무침,188,12.05,28.4,2.91,0.51,0.02
샐러드_감자,126,12.25,1.31,7.99,1.36,0.06
샐러드_단호박,162,18.77,1.48,8.97,1.35,0.05
샐러드_닭가슴살,135,5.36,7.17,9.49,1.21,0.03
샐러드_새싹,74,4.96,2.77,4.81,0.62,0.02
샐러드_양배추,150,8.47,2.69,11.71,1.79,0.05
샐러드_양상추,126,3.42,4.91,10.3,1.31,0.05
샐러드_옥수수,166,12.68,1.96,11.94,1.88,0.09
샐러드_참치,151,7.52,10.82,8.65,1.47,0.05
샐러드_채소,145,5.1,1.16,13.35,2.11,0.06
양장피,133,10.95,7.3,6.63,1.21,0.03
오이무침_부추,31,5.01,1.95,0.39,0.08,0.0
오이생채,69,8.96,1.78,2.9,0.14,0.0
오이지무침,52,4.21,0.96,3.51,0.41,0.01
오징어무침_채소,62,7.6,5.85,0.93,0.14,0.0
오징어채무침,258,28.41,23.6,5.53,0.99,0.03
톳나물무침,75,12.28,1.87,2.09,0.3,0.01
파래무침,49,4.97,3.53,1.7,0.2,0.03
파무침,71,9.08,2.25,2.81,0.31,0.01
풋고추된장무침_풋고추,124,12.0,2.37,7.35,1.07,0.04
풋마늘무침,71,11.27,4.14,1.04,0.11,0.01
피조개무침,52,6.07,4.71,0.95,0.18,0.01
해초무침,39,8.52,0.95,0.16,0.06,0.0
회무침,82,8.6,8.09,1.65,0.52,0.03
회무침_가오리,81,6.35,11.33,1.16,0.2,0.0
고들빼기김치,71,11.52,3.0,1.38,0.14,0.0
깍두기,33,4.24,1.56,1.06,0.04,0.0
깻잎김치,62,8.92,2.82,1.72,0.08,0.0
나박김치,10,1.15,0.46,0.38,0.02,0.0
동치미,14,2.28,0.29,0.37,0.01,0.0
물김치_돌나물,5,0.75,0.31,0.08,0.01,0.0
보쌈김치,30,3.73,2.19,0.72,0.04,0.0
부추김치,47,6.36,2.68,1.16,0.1,0.0
얼갈이배추김치,63,10.94,1.59,1.45,0.05,0.0
오이김치,38,5.64,2.06,0.8,0.11,0.0
가자미식해,134,11.64,11.09,4.81,0.7,0.03
갈치젓_양념,149,10.28,15.53,5.08,1.87,0.03
꽃게장_간장,62,6.04,7.02,1.1,0.16,0.0
꽃게장_양념(고추가루),97,12.61,10.23,0.61,0.24,0.01
단무지,13,2.4,0.33,0.2,0.03,0.0
더덕장아찌,141,28.9,4.47,0.89,0.23,0.0
매실장아찌_우메보시(일본),65,11.03,1.27,1.77,0.03,0.0
멸치젓_양념,90,7.4,11.4,1.6,0.8,0.0
무짠지,11,1.98,0.54,0.12,0.02,0.0
무초절임(치킨무),17,3.05,0.52,0.3,0.02,0.0
새우젓_양념,69,6.0,7.1,1.8,0.3,0.0
오이장아찌,14,2.54,0.36,0.28,0.04,0.0
오이지,21,2.84,0.74,0.72,0.04,0.0
오징어젓_양념,60,3.4,10.1,0.7,0.2,0.0
미숫가루,70,10.42,2.08,2.27,0.36,0.0
가래떡,195,43.73,3.92,0.51,0.19,0.0
경단_깨,240,38.58,6.28,6.72,0.99,0.0
꿀떡,228,49.48,3.74,1.73,0.3,0.0
모듬찰떡,218,42.27,6.78,2.44,0.28,0.0
백설기,230,50.4,3.71,1.45,0.12,0.0
송편_깨,219,42.83,4.65,3.23,0.62,0.0
국밥_굴,105,13.6,6.52,2.74,0.6,0.02
약식,220,45.24,4.21,2.45,0.27,0.0
인절미,242,50.07,5.64,2.16,0.24,0.0
절편_쑥,192,34.87,7.72,2.42,0.24,0.0
증편,200,44.15,3.17,1.2,0.15,0.0
찹쌀팥앙금,295,62.93,5.06,2.53,0.13,0.0
육회,130,8.12,9.93,6.43,2.11,0.08
초밥_(삼삼한밥상(Ⅶ))채소 초밥,140,31.3,2.71,0.49,0.0,0.0
도넛_(못난이꽈배기)못난이찹쌀고구마크림치즈도넛,293,41.16,6.81,11.3,5.07,0.14
도넛_(못난이꽈배기)못난이찹쌀꽈배기,291,49.27,7.27,7.27,1.09,0.0
도넛_(못난이꽈배기)못난이찹쌀모짜렐라치즈도넛,276,39.43,10.71,8.43,2.14,0.0
도넛_(못난이꽈배기)못난이찹쌀유자도넛,271,50.86,6.57,4.57,0.71,0.0
도넛_(못난이꽈배기)못난이찹쌀팥도넛,279,53.14,7.0,4.29,0.71,0.0
도넛_(못난이꽈배기)못난이찹쌀핫도그,295,34.84,8.63,13.47,3.68,0.0
머핀_(커피빈)크림 치즈 머핀,410,53.13,7.03,22.66,14.06,0.78
머핀_(커피에 반하다)블루베리머핀,104,40.0,7.27,20.91,0.0,0.0
머핀_(커피에 반하다)치즈머핀,373,41.82,7.27,2.73,0.0,0.0
모카빵_(커피에 반하다)모카번,391,46.25,6.25,13.75,0.0,0.0
베이글_(커피빈)쌀 블루베리 베이글,268,52.5,10.83,1.67,1.67,0.0
베이글_(커피빈)치즈 베이글,324,39.17,10.0,14.17,5.0,0.0
베이글_(커피빈)플레인 베이글,263,52.5,10.0,1.33,0.33,0.0
베이글_(커피에 반하다)블루베리 베이글,255,58.18,9.09,1.09,0.0,0.0
베이글_(커피에 반하다)어니언 베이글,258,60.0,9.09,1.0,0.0,0.0
베이글_(커피에 반하다)치즈 베이글,324,56.36,10.0,4.64,0.0,0.0
베이글_(커피에 반하다)플레인 베이글,251,59.09,10.0,1.0,0.0,0.0
비스킷/쿠키/크래커_(커피에 반하다)마카다미아넛 쿠키,529,54.29,5.71,31.43,0.0,0.0
빵_(눈치떡)크림갈릭볼,456,41.67,6.67,29.17,8.33,0.0
샌드위치_(커피빈)루꼴라&햄 페스토 샌드위치,204,25.29,7.06,8.24,1.76,0.0
샌드위치_(커피빈)에그 베이컨 브리오쉬,214,30.95,11.9,4.76,2.38,0.03
샌드위치_(커피빈)에그 잼 사라다 샌드위치,203,19.44,10.0,9.44,1.61,0.0
샌드위치_(커피빈)에그 햄 치즈 베이글,28,3.21,1.29,1.07,0.64,0.01
샌드위치_(커피빈)크로크무슈,186,22.0,11.0,6.0,2.7,0.0
샌드위치_(커피빈)햄 치즈 잉글리쉬 머핀,191,21.0,11.0,7.0,2.1,0.0
샌드위치_(커피에 반하다)불고기 치아바타,307,42.22,13.33,9.63,0.0,0.0
샌드위치_(커피에 반하다)잉글리쉬머핀,100,10.25,4.95,4.59,0.0,0.0
샌드위치_(커피에 반하다)크로크무슈,312,27.86,52.14,12.14,0.0,0.0
샌드위치_(커피에 반하다)햄에그 치아바타,266,29.68,12.9,8.39,0.0,0.0
스콘_(커피빈)블루베리 초코칩스틱 스콘,441,60.91,6.36,19.09,11.82,0.06
스콘_(커피에 반하다)건포도 스콘,436,63.33,5.56,17.78,0.0,0.0
스콘_(커피에 반하다)초코스콘,571,64.44,12.22,28.89,0.0,0.0
스콘_(커피에 반하다)플레인스콘,493,63.33,6.67,23.33,0.0,0.0
츄러스_(스트릿츄러스)스틱츄,370,51.43,5.14,16.0,1.26,0.0
츄러스_(스트릿츄러스)츄러스,355,50.0,5.0,15.0,1.25,0.0
츄러스_(스트릿츄러스)치즈스틱츄,367,52.0,5.14,15.43,1.71,0.0
츄러스_(스트릿츄러스)치즈츄러스,355,50.0,5.0,15.0,1.5,0.0
카스텔라_(커피빈)생크림 카스테라,333,31.43,4.76,20.95,9.52,0.28
케이크_(커피빈)밀크레이프,288,25.14,7.88,17.32,6.14,0.06
케이크_(커피빈)쁘띠 까망베르 치즈 케익,316,28.67,5.33,20.0,14.33,0.33
케이크_(커피빈)시카고 치즈 케익,372,25.45,8.18,26.36,16.36,1.31
케이크_(커피빈)초콜릿 무스 케익,373,28.33,5.0,26.67,17.5,0.41
케이크_(커피빈)티라미수 큐브,292,24.38,3.75,19.38,12.5,0.0
케이크_(커피에 반하다)뉴욕치즈 케이크,257,22.31,4.62,17.69,0.0,0.0
케이크_(커피에 반하다)돌체티라미수 케이크,274,23.08,4.62,17.69,0.0,0.0
케이크_(커피에 반하다)딸기 크레이프 케이크,223,24.76,2.86,13.33,0.0,0.0
케이크_(커피에 반하다)레드벨벳 케이크,503,46.67,6.67,33.33,0.0,0.0
케이크_(커피에 반하다)밀크 크레이프 케이크,225,24.0,3.0,15.0,0.0,0.0
케이크_(커피에 반하다)블루베리 요거트 케이크,261,47.78,2.22,12.22,0.0,0.0
케이크_(커피에 반하다)블루베리 크레이프 케이크,225,25.71,2.86,13.33,0.0,0.0
케이크_(커피에 반하다)수플레치즈 케이크,274,24.71,5.88,16.47,0.0,0.0
케이크_(커피에 반하다)스윗밀크 롤케이크,232,24.21,5.26,13.68,0.0,0.0
케이크_(커피에 반하다)오레오크림치즈 케이크,304,28.18,3.64,19.09,0.0,0.0
케이크_(커피에 반하다)초코무스 케이크,320,31.76,3.53,20.0,0.0,0.0
케이크_(커피에 반하다)초코티라미수 케이크,322,23.53,4.71,23.53,0.0,0.0
타르트_(커피빈)까망베르 치즈 타르트,304,31.76,7.06,16.47,10.59,0.47
피자_(고피자)고구마피자,243,32.01,9.69,8.44,3.53,0.0
피자_(고피자)고르곤졸라피자,303,34.19,15.29,11.83,7.12,0.0
피자_(고피자)나폴리슈림프피자,216,29.23,10.85,6.03,1.81,0.0
피자_(고피자)베이컨포테이토피자,256,31.34,11.58,9.31,3.97,0.0
피자_(고피자)부라타치즈피자,247,29.09,12.05,9.14,4.05,0.0
피자_(고피자)불고기피자,258,29.95,11.9,10.16,5.16,0.0
피자_(고피자)슈퍼콤비네이션피자,245,30.86,10.79,8.75,4.03,0.0
피자_(고피자)클래식치즈피자,284,32.22,15.51,10.2,4.27,0.0
피자_(고피자)페퍼로니,279,31.34,13.23,11.14,4.97,0.0
피자_(고피자)페퍼로니매니아피자,288,30.15,13.47,12.71,5.61,0.0
피자_(고피자)하와이안피자,230,30.86,11.33,6.8,3.14,0.0
피자_(피자헤븐)1988 피자 BL,256,33.15,11.05,8.84,3.31,0.0
피자_(피자헤븐)1988 피자 L,255,32.69,10.9,8.97,3.4,0.0
피자_(피자헤븐)1988 피자 M,255,33.33,10.87,8.7,3.41,0.0
피자_(피자헤븐)고구마스위트 피자 BL,278,35.63,9.2,10.92,4.02,0.0
피자_(피자헤븐)고구마스위트 피자 L,277,36.0,9.33,10.67,4.07,0.0
피자_(피자헤븐)고구마스위트 피자 M,280,35.77,9.49,10.95,4.01,0.0
피자_(피자헤븐)그릴드포크벨리  피자M,249,31.11,11.11,8.89,4.0,0.0
피자_(피자헤븐)그릴드포크벨리 피자 BL,253,31.64,11.3,9.04,3.95,0.0
피자_(피자헤븐)그릴드포크벨리 피자 L,251,31.17,11.04,9.09,3.96,0.0
피자_(피자헤븐)눈꽃치즈스테이크 피자 BL,240,25.77,13.4,9.28,4.64,0.0
피자_(피자헤븐)눈꽃치즈스테이크 피자 L,237,25.88,13.53,8.82,4.35,0.0
피자_(피자헤븐)눈꽃치즈스테이크 피자 M,237,25.85,13.61,8.84,4.35,0.0
피자_(피자헤븐)대만감자 피자 BL,235,30.0,10.0,8.33,3.89,0.0
피자_(피자헤븐)대만감자 피자 L,235,30.32,9.68,8.39,3.87,0.0
피자_(피자헤븐)대만감자 피자 M,234,30.43,10.14,7.97,2.75,0.0
피자_(피자헤븐)더블치즈 피자 BL,289,36.36,13.64,9.85,6.06,0.0
피자_(피자헤븐)더블치즈 피자 L,290,36.36,13.64,10.0,6.36,0.0
피자_(피자헤븐)더블치즈 피자 M,296,36.73,14.29,10.2,4.49,0.0
피자_(피자헤븐)더블치즈베이컨 피자 BL,278,31.76,14.86,10.14,4.73,0.0
피자_(피자헤븐)더블치즈베이컨 피자 L,280,31.75,15.08,10.32,4.76,0.0
피자_(피자헤븐)더블치즈베이컨 피자 M,285,32.43,14.41,10.81,3.69,0.0
피자_(피자헤븐)더블포테이토 피자 BL,247,30.32,11.17,9.04,3.19,0.0
피자_(피자헤븐)더블포테이토 피자 L,250,30.67,11.04,9.2,3.37,0.0
피자_(피자헤븐)더블포테이토 피자 M,249,30.28,11.27,9.15,3.38,0.0
피자_(피자헤븐)레드핫치킨 피자 BL,251,31.18,12.94,8.24,3.53,0.0
피자_(피자헤븐)레드핫치킨 피자 L,249,30.82,13.01,8.22,3.42,0.0
피자_(피자헤븐)레드핫치킨 피자 M,245,30.77,13.08,7.69,3.38,0.0
피자_(피자헤븐)불고기 피자 BL,249,29.11,14.56,8.23,4.43,0.0
피자_(피자헤븐)불고기 피자 L,248,28.89,14.81,8.15,4.44,0.0
피자_(피자헤븐)불고기 피자 M,249,28.81,14.41,8.47,3.31,0.0
피자_(피자헤븐)사대천왕 피자 BL,247,30.54,13.77,7.78,3.59,0.0
피자_(피자헤븐)사대천왕 피자 L,250,30.94,13.67,7.91,3.6,0.0
피자_(피자헤븐)쉬림프디럭스 피자 BL,223,30.86,11.11,6.17,2.47,0.0
피자_(피자헤븐)쉬림프디럭스 피자 L,227,31.16,10.87,6.52,2.75,0.0
피자_(피자헤븐)쉬림프디럭스 피자 M,225,30.58,10.74,6.61,2.81,0.0
피자_(피자헤븐)슈퍼슈프림 피자 BL,258,32.08,12.58,8.81,3.77,0.0
피자_(피자헤븐)슈퍼슈프림 피자 L,263,32.84,12.69,8.96,3.66,0.0
피자_(피자헤븐)슈퍼슈프림 피자 M,257,32.77,12.61,8.4,2.69,0.0
피자_(피자헤븐)아메리칸스페셜 피자 BL,277,30.82,14.47,10.69,4.4,0.0
피자_(피자헤븐)아메리칸스페셜 피자 L,281,31.11,14.07,11.11,4.52,0.0
피자_(피자헤븐)아메리칸스페셜 피자 M,277,30.89,14.63,10.57,4.47,0.0
피자_(피자헤븐)치킨바베큐 피자 BL,247,28.48,18.18,6.67,3.03,0.0
피자_(피자헤븐)치킨바베큐 피자 L,249,28.17,18.31,7.04,3.31,0.0
피자_(피자헤븐)치킨바베큐 피자 M,246,28.69,18.03,6.56,3.28,0.0
피자_(피자헤븐)페퍼로니 피자 BL,297,35.43,15.75,10.24,4.72,0.0
피자_(피자헤븐)페퍼로니 피자 L,289,34.91,16.04,9.43,4.62,0.0
피자_(피자헤븐)페퍼로니 피자 M,290,35.11,15.96,9.57,3.51,0.0
피자_(피자헤븐)포테이토 피자 BL,241,28.65,10.53,9.36,3.51,0.0
피자_(피자헤븐)포테이토 피자 L,244,28.57,10.88,9.52,3.4,0.0
피자_(피자헤븐)포테이토 피자 M,243,28.35,11.02,9.45,2.6,0.0
피자_(피자헤븐)프랑크필레 피자 BL,257,31.46,11.24,9.55,3.93,0.0
피자_(피자헤븐)프랑크필레 피자 L,259,31.13,11.26,9.93,4.04,0.0
피자_(피자헤븐)프랑크필레 피자 M,259,31.58,11.28,9.77,4.06,0.0
피자_(피자헤븐)하와이안 피자 BL,268,31.39,17.52,8.03,3.65,0.0
피자_(피자헤븐)하와이안 피자 L,271,31.03,17.24,8.62,3.97,0.0
피자_(피자헤븐)하와이안 피자 M,274,31.73,17.31,8.65,2.98,0.0
피자_(피자헤븐)핫앤스파이시 피자 BL,267,31.52,12.12,10.3,4.24,0.0
피자_(피자헤븐)핫앤스파이시 피자 L,264,31.43,12.14,10.0,4.43,0.0
피자_(피자헤븐)핫앤스파이시 피자 M,264,31.4,12.4,9.92,4.46,0.0
피자_(피자헤븐)헤븐스페셜 피자 BL,271,33.33,13.33,9.33,4.0,0.0
피자_(피자헤븐)헤븐스페셜 피자 L,273,33.33,13.49,9.52,3.81,0.0
피자_(피자헤븐)헤븐스페셜 피자 M,270,33.93,13.39,8.93,3.84,0.0
피자_(피자헤븐)황제천왕 피자 BL,251,27.37,11.58,10.53,4.21,0.0
피자_(피자헤븐)황제천왕 피자 L,253,27.5,11.88,10.63,4.31,0.0
핫도그_(눈치떡)핫도그,309,30.0,9.0,17.0,7.0,0.0
핫도그_(못난이꽈배기)못난이찹쌀모짜렐라치즈핫도그,280,35.79,9.26,11.05,2.95,0.0
핫도그_(커피에 반하다)오리지널 핫도그 매콤치즈,261,27.5,5.83,25.83,0.0,0.0
핫도그_(커피에 반하다)오리지널 핫도그 치즈,264,28.33,5.83,14.17,0.0,0.0
허니브레드_(커피에 반하다)허니버터브레드,416,22.11,8.42,10.53,0.0,0.0
군만두_(눈치떡)군만두,293,24.44,8.89,17.78,6.11,0.0
군만두_(눈치떡)야끼만두,315,40.0,5.0,15.0,2.63,0.0
기타_(꾸브라꼬 숯불두마리 치킨)우동사리,185,40.0,3.71,1.26,0.31,0.0
수제비_(삼삼한밥상(Ⅶ))얼큰 콩나물 수제비,69,14.4,2.72,0.03,0.0,0.0
스파게티_(고피자)까브로나라파스타,167,20.64,4.34,7.26,5.11,0.0
스파게티_(고피자)미트소스파스타,147,21.33,5.35,4.45,1.21,0.0
스파게티_(고피자)알리오올리오파스타,154,24.9,4.1,4.46,0.72,0.0
스파게티_(고피자)토마토파스타,105,20.84,4.06,0.7,0.12,0.0
스파게티_(피자헤븐)까르보나라,156,18.75,6.25,7.19,5.31,0.0
스파게티_(피자헤븐)매운까르보나라,161,22.22,5.56,7.78,5.56,0.0
스파게티_(피자헤븐)볼로네즈,161,19.44,8.33,4.72,2.22,0.0
스파게티_(피자헤븐)불닭까르보나라,138,19.05,4.76,6.67,4.76,0.0
스파게티_(피자헤븐)치킨까르보나라,181,19.05,4.76,7.62,5.71,0.0
스파게티_(피자헤븐)포모도로,111,18.92,2.7,1.62,0.0,0.0
오븐 스파게티_(눈치떡)볼로네즈 스파게티,143,19.53,7.44,3.95,1.86,0.0
스프_(삼삼한밥상(Ⅶ))퀴노아팥수프,154,10.0,2.27,11.7,0.0,0.0
닭곰탕_(삼삼한밥상(Ⅶ))닭곰탕,27,1.25,5.32,0.04,0.0,0.0
들깨탕_(삼삼한밥상(Ⅶ))코다리 뿌리채소 들깨탕,27,1.05,4.25,0.63,0.0,0.0
무국_(삼삼한밥상(Ⅶ))쇠고기 무국,16,1.19,2.26,0.27,0.0,0.0
미소된장국_(삼삼한밥상(Ⅶ))미역 미소국,6,0.97,0.46,0.02,0.0,0.0
미소된장국_(삼삼한밥상(Ⅶ))토마토 미소된장국,24,2.7,1.75,0.68,0.0,0.0
미역국_(삼삼한밥상(Ⅶ))바지락 미역국,19,1.44,2.81,0.2,0.0,0.0
바지락국_(삼삼한밥상(Ⅶ))바지락맑은국,19,3.14,1.59,0.01,0.0,0.0
배추국_(삼삼한밥상(Ⅶ))홍합 배춧국,10,0.89,0.84,0.3,0.0,0.0
북어국_(삼삼한밥상(Ⅶ))북어 무국,19,1.44,2.81,0.2,0.0,0.0
토란국_(삼삼한밥상(Ⅶ))쇠고기 들깨 알토란탕,49,5.86,2.55,1.74,0.0,0.0
달걀찜_(삼삼한밥상(Ⅶ))토마토 채소 계란찜,135,2.96,8.65,9.8,0.0,0.0
두부찜_(삼삼한밥상(Ⅶ))닭가슴살 두부선,105,1.26,16.0,3.98,0.0,0.0
보쌈/수육_(삼삼한밥상(Ⅶ))돈수육 & 해물냉채,178,4.09,15.7,11.0,0.0,0.0
닭튀김(치킨)_(꾸브라꼬 숯불두마리 치킨)간장치킨 뼈닭,289,14.0,20.0,17.0,3.7,0.0
닭튀김(치킨)_(꾸브라꼬 숯불두마리 치킨)간장치킨 순살,320,18.0,17.0,20.0,4.2,0.0
닭튀김(치킨)_(꾸브라꼬 숯불두마리 치킨)숯불데리야끼치킨 뼈닭,246,13.0,26.0,10.0,3.1,0.0
닭튀김(치킨)_(꾸브라꼬 숯불두마리 치킨)숯불데리야끼치킨 순살,233,13.0,25.0,9.0,2.9,0.0
닭튀김(치킨)_(꾸브라꼬 숯불두마리 치킨)숯불양념구이치킨 뼈닭,211,13.0,24.0,7.0,2.2,0.0
닭튀김(치킨)_(꾸브라꼬 숯불두마리 치킨)숯불양념구이치킨 순살,228,17.0,22.0,8.0,2.9,0.0
닭튀김(치킨)_(꾸브라꼬 숯불두마리 치킨)양념치킨 뼈닭,300,22.0,17.0,16.0,3.0,0.0
닭튀김(치킨)_(꾸브라꼬 숯불두마리 치킨)양념치킨 순살,297,33.0,12.0,13.0,2.9,0.0
닭튀김(치킨)_(꾸브라꼬 숯불두마리 치킨)후라이드치킨 뼈닭,341,8.0,21.0,25.0,6.0,0.0
닭튀김(치킨)_(꾸브라꼬 숯불두마리 치킨)후라이드치킨 순살,341,10.0,20.0,25.0,5.0,0.0
두부구이_(삼삼한밥상(Ⅶ))두부구이 & 버섯소스,140,4.38,10.8,8.83,0.0,0.0
떡갈비_(삼삼한밥상(Ⅶ))퓨전떡갈비,230,29.11,14.8,6.09,0.0,0.0
함박스테이크_(삼삼한밥상(Ⅶ))참치 두부 함박스테이크,201,21.6,7.41,9.41,0.0,0.0
함박스테이크_(삼삼한밥상(Ⅶ))함박스테이크 & 토마토카레소스,88,10.2,6.53,2.39,0.0,0.0
단호박전_(삼삼한밥상(Ⅶ))단호박 마전,188,25.51,3.89,7.85,0.0,0.0
달걀말이_(삼삼한밥상(Ⅶ))일본식 계란말이,163,10.2,11.71,8.35,0.0,0.0
모듬전_(삼삼한밥상(Ⅶ))알록달록화전 & 멸치두부전,228,37.4,7.18,5.46,0.0,0.0
완자전_(삼삼한밥상(Ⅶ))두부해물완자,153,14.7,8.14,6.83,0.0,0.0
화전_(삼삼한밥상(Ⅶ))삼색 꽃 화전,309,43.0,4.06,13.4,0.0,0.0
김치볶음_(삼삼한밥상(Ⅶ))김치양배추볶음,73,5.85,1.89,4.66,0.0,0.0
돼지고기볶음_(삼삼한밥상(Ⅶ))돈불고기 파인애플볶음,153,7.64,12.2,8.18,0.0,0.0
떡볶이_(눈치떡)눈꽃치즈 떡볶이 대,144,20.0,7.0,4.0,2.0,0.0
